ID,Name,Lat,Long,cpmtorem,cpmtousv,display,devices,gitBranch,needsUpdate,IDLatLongHash,nickname,timezone
1,LBL,37.876886,-122.252211,0.0036,0.036,1,100000,master,0,7c756767412b5346ad79bb9a5cf56f51,lbl,America/Los_Angeles
2,Campolindo High School,37.8673,-122.12608,0.0036,0.036,1,100000,master,0,c4cffb550a81a421f73bbefc01777c11,campolindo,America/Los_Angeles
3,Pinewood School,37.387837,-122.142018,0.0036,0.036,1,100000,master,0,670fe01ede8df7fb7c33ad3bf45e7ba1,pinewood,America/Los_Angeles
4,Etcheverry Hall,37.875644,-122.259265,0.0036,0.036,1,100000,master,0,064b86e4a39b450ca3ca0da747a23fff,etch,America/Los_Angeles
5,Etcheverry Roof,37.875387,-122.259201,4.27e-05,0.036,1,111110,master,0,00b54d2286ec687683ff54853ee36e78,etch_roof,America/Los_Angeles
6,Koriyama City Hall,37.400491,140.36044,0.0036,0.036,1,100000,master,0,e6497f572770be411133042735686987,koriyama_ch,Asia/Tokyo
7,Foothill College,37.361281,-122.131671,0.0036,0.036,1,100000,master,0,0c033cdbf584d27f008e330bb2510ccc,foothills,America/Los_Angeles
8,James Logan High School,37.589991,-122.026841,0.0036,0.036,1,100000,master,0,5526a0637bd0cc572730a9ba79bcb782,jlhs,America/Los_Angeles
9,East Bay Innovation Academy,37.746036,-122.141381,0.0036,0.036,1,100000,master,0,06f627fd95a0e2e1b9c9e047bb051efa,ebia,America/Los_Angeles
10,KAIST,36.372168,127.358417,0.0036,0.036,1,100000,master,0,dd831c53a0f40db847ca5cb14e99d3a4,kaist,Asia/Seoul
11,Alameda High School,37.764416,-122.247783,0.0036,0.036,1,100000,master,0,a4000c2845db4f281794686e156d5494,alameda_hs,America/Los_Angeles
12,Harbor Bay,37.746416,-122.246035,0.0036,0.036,1,100000,master,0,669c1bff1c7a6ff120529025a9c921c8,harbor_bay,America/Los_Angeles
13,Daejeon Science High School,36.373798,127.370909,0.0036,0.036,1,100000,master,0,845a6e3a9c6f97530530c1b7729d8451,dshs,Asia/Seoul
15,Life Academy,37.78467,-122.21656,0.0036,0.036,1,100000,master,0,97f35dcfe403976e2b52f8bed8323f36,life_academy,America/Los_Angeles
16,KTH Stockholm,59.353888,18.056465,0.0036,0.036,1,100000,master,0,02e5822122f56aa696eae928cc0ce788,KTH,Europe/Stockholm
17,Norra Real Gymnasium,59.343872,18.061385,0.0036,0.036,1,100000,master,0,9abd303edce9a6edf7b29ea5c216478a,norrareal,Europe/Stockholm
18,Gilroy High School,36.99537,-121.575534,0.0036,0.036,1,100000,master,0,414505c3231c9e800e2ae1083c7d9386,ghs,America/Los_Angeles
